Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,27-01-2026 14:37:46,27-01-2026 14:42:02,4m - 16.041s,FAILED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,27-01-2026 14:37:48,27-01-2026 14:39:20,1m - 32.587s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,27-01-2026 14:37:49,27-01-2026 14:38:57,1m - 7.946s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,27-01-2026 14:38:57,27-01-2026 14:38:57,0.120s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,27-01-2026 14:38:57,27-01-2026 14:38:57,0.281s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,27-01-2026 14:38:57,27-01-2026 14:39:16,18.862s,PASSED
try,Chrome 144.0.7559.97,,,27-01-2026 14:39:16,27-01-2026 14:39:20,4.456s,FAILED
catch (Exception e),Chrome 144.0.7559.97,,,27-01-2026 14:39:20,27-01-2026 14:39:20,0.043s,PASSED
Finally,Chrome 144.0.7559.97,,,27-01-2026 14:39:20,27-01-2026 14:39:20,0.004s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,27-01-2026 14:41:22,27-01-2026 14:42:02,40.086s,FAILED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,27-01-2026 14:41:22,27-01-2026 14:41:22,0.006s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,27-01-2026 14:41:22,27-01-2026 14:42:02,40.052s,FAILED
