Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,27-01-2026 23:16:32,27-01-2026 23:17:09,36.504s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,27-01-2026 23:16:33,27-01-2026 23:16:39,5.765s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,27-01-2026 23:16:33,27-01-2026 23:16:36,2.383s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,27-01-2026 23:16:36,27-01-2026 23:16:36,0.055s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,27-01-2026 23:16:36,27-01-2026 23:16:36,0.368s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,27-01-2026 23:16:36,27-01-2026 23:16:37,0.482s,PASSED
try,Chrome 144.0.7559.97,,,27-01-2026 23:16:37,27-01-2026 23:16:38,1.879s,PASSED
catch (Exception e),Chrome 144.0.7559.97,,,27-01-2026 23:16:38,27-01-2026 23:16:39,0.064s,PASSED
Finally,Chrome 144.0.7559.97,,,27-01-2026 23:16:39,27-01-2026 23:16:39,0.003s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/LogOut_Page/LogOut,Chrome 144.0.7559.97,,,27-01-2026 23:17:03,27-01-2026 23:17:08,5.397s,PASSED
try,Chrome 144.0.7559.97,,,27-01-2026 23:17:03,27-01-2026 23:17:08,5.373s,PASSED
