Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.98,,,29-01-2026 15:33:00,29-01-2026 15:36:25,3m - 24.175s,ERROR
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.98,Login,,29-01-2026 15:33:01,29-01-2026 15:34:57,1m - 56.119s,PASSED
"DATA BINDING - {""password"":""HeCM15nHKBI\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.98,,,29-01-2026 15:33:02,29-01-2026 15:34:10,1m - 7.863s,PASSED
maximizeWindow(),Chrome 144.0.7559.98,,,29-01-2026 15:34:10,29-01-2026 15:34:10,0.089s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.98,,,29-01-2026 15:34:10,29-01-2026 15:34:10,0.287s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.98,,,29-01-2026 15:34:10,29-01-2026 15:34:51,41.081s,PASSED
try,Chrome 144.0.7559.98,,,29-01-2026 15:34:51,29-01-2026 15:34:57,6.122s,PASSED
Finally,Chrome 144.0.7559.98,,,29-01-2026 15:34:57,29-01-2026 15:34:57,0.014s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.98,,,29-01-2026 15:36:02,29-01-2026 15:36:22,20.149s,ERROR
"DATA BINDING - {""isDataValion"":""false"",""exportType"":""excel"",""isFileDownload"":""true""}",,,,,,,
explort = null,Chrome 144.0.7559.98,,,29-01-2026 15:36:02,29-01-2026 15:36:02,0.000s,PASSED
rows = null,Chrome 144.0.7559.98,,,29-01-2026 15:36:02,29-01-2026 15:36:02,0.000s,PASSED
webData = [],Chrome 144.0.7559.98,,,29-01-2026 15:36:02,29-01-2026 15:36:02,0.002s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.98,,,29-01-2026 15:36:02,29-01-2026 15:36:22,20.123s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/LogOut_Page/LogOut,Chrome 144.0.7559.98,,,29-01-2026 15:36:22,29-01-2026 15:36:24,1.791s,PASSED
try,Chrome 144.0.7559.98,,,29-01-2026 15:36:22,29-01-2026 15:36:24,1.686s,PASSED
