Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,25-01-2026 15:47:19,25-01-2026 15:47:53,34.284s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,25-01-2026 15:47:19,25-01-2026 15:47:32,13.363s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,25-01-2026 15:47:19,25-01-2026 15:47:21,2.045s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,25-01-2026 15:47:21,25-01-2026 15:47:22,0.051s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,25-01-2026 15:47:22,25-01-2026 15:47:22,0.287s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,25-01-2026 15:47:22,25-01-2026 15:47:23,1.635s,PASSED
try,Chrome 144.0.7559.97,,,25-01-2026 15:47:23,25-01-2026 15:47:32,8.926s,PASSED
Finally,Chrome 144.0.7559.97,,,25-01-2026 15:47:32,25-01-2026 15:47:32,0.010s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,25-01-2026 15:47:32,25-01-2026 15:47:53,20.230s,PASSED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,25-01-2026 15:47:33,25-01-2026 15:47:33,0.000s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,25-01-2026 15:47:33,25-01-2026 15:47:53,19.970s,PASSED
