Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,25-01-2026 22:10:08,25-01-2026 22:13:17,3m - 9.690s,FAILED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,25-01-2026 22:10:08,25-01-2026 22:10:19,10.734s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,25-01-2026 22:10:09,25-01-2026 22:10:11,2.391s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,25-01-2026 22:10:11,25-01-2026 22:10:11,0.063s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,25-01-2026 22:10:11,25-01-2026 22:10:12,0.354s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,25-01-2026 22:10:12,25-01-2026 22:10:14,2.606s,PASSED
try,Chrome 144.0.7559.97,,,25-01-2026 22:10:14,25-01-2026 22:10:19,4.722s,FAILED
catch (Exception e),Chrome 144.0.7559.97,,,25-01-2026 22:10:19,25-01-2026 22:10:19,0.077s,PASSED
Finally,Chrome 144.0.7559.97,,,25-01-2026 22:10:19,25-01-2026 22:10:19,0.006s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,25-01-2026 22:12:37,25-01-2026 22:13:17,40.355s,FAILED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,25-01-2026 22:12:37,25-01-2026 22:12:37,0.001s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,25-01-2026 22:12:37,25-01-2026 22:13:17,40.340s,FAILED
