Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,25-01-2026 22:14:54,25-01-2026 22:17:45,2m - 51.271s,FAILED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,25-01-2026 22:14:55,25-01-2026 22:15:03,8.306s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,25-01-2026 22:14:55,25-01-2026 22:14:58,2.460s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,25-01-2026 22:14:58,25-01-2026 22:14:58,0.067s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,25-01-2026 22:14:58,25-01-2026 22:14:58,0.337s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,25-01-2026 22:14:58,25-01-2026 22:14:59,0.903s,PASSED
try,Chrome 144.0.7559.97,,,25-01-2026 22:14:59,25-01-2026 22:15:03,4.002s,FAILED
catch (Exception e),Chrome 144.0.7559.97,,,25-01-2026 22:15:03,25-01-2026 22:15:03,0.055s,PASSED
Finally,Chrome 144.0.7559.97,,,25-01-2026 22:15:03,25-01-2026 22:15:03,0.003s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,25-01-2026 22:17:05,25-01-2026 22:17:45,40.393s,FAILED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,25-01-2026 22:17:05,25-01-2026 22:17:05,0.001s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,25-01-2026 22:17:05,25-01-2026 22:17:45,40.363s,FAILED
