Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,27-01-2026 17:05:28,27-01-2026 17:07:52,2m - 23.338s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,27-01-2026 17:05:29,27-01-2026 17:07:12,1m - 43.124s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,27-01-2026 17:05:30,27-01-2026 17:06:38,1m - 7.495s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,27-01-2026 17:06:38,27-01-2026 17:06:38,0.128s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,27-01-2026 17:06:38,27-01-2026 17:06:38,0.390s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,27-01-2026 17:06:38,27-01-2026 17:07:10,31.737s,PASSED
try,Chrome 144.0.7559.97,,,27-01-2026 17:07:10,27-01-2026 17:07:12,2.536s,PASSED
catch (Exception e),Chrome 144.0.7559.97,,,27-01-2026 17:07:12,27-01-2026 17:07:12,0.067s,PASSED
Finally,Chrome 144.0.7559.97,,,27-01-2026 17:07:12,27-01-2026 17:07:12,0.000s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,27-01-2026 17:07:12,27-01-2026 17:07:51,38.681s,PASSED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,27-01-2026 17:07:14,27-01-2026 17:07:14,0.009s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,27-01-2026 17:07:14,27-01-2026 17:07:51,37.605s,PASSED
