Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Custom Reports,Chrome 144.0.7559.110,,,03-02-2026 08:45:32,03-02-2026 08:51:44,6m - 12.576s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.110,Login,,03-02-2026 08:45:32,03-02-2026 08:45:41,9.195s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.110,,,03-02-2026 08:45:33,03-02-2026 08:45:35,2.527s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 08:45:35,03-02-2026 08:45:35,0.073s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.110,,,03-02-2026 08:45:35,03-02-2026 08:45:35,0.318s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.110,,,03-02-2026 08:45:35,03-02-2026 08:45:36,0.473s,PASSED
try,Chrome 144.0.7559.110,,,03-02-2026 08:45:36,03-02-2026 08:45:41,5.278s,PASSED
Finally,Chrome 144.0.7559.110,,,03-02-2026 08:45:41,03-02-2026 08:45:41,0.026s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Work Time/Custom Reports/Custom Reports,Chrome 144.0.7559.110,,,03-02-2026 08:51:38,03-02-2026 08:51:44,5.706s,PASSED
ViewBy = null,Chrome 144.0.7559.110,,,03-02-2026 08:51:38,03-02-2026 08:51:38,0.001s,PASSED
UserType = null,Chrome 144.0.7559.110,,,03-02-2026 08:51:38,03-02-2026 08:51:38,0.001s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.110,,,03-02-2026 08:51:38,03-02-2026 08:51:43,5.138s,WARNING
else,Chrome 144.0.7559.110,,,03-02-2026 08:51:43,03-02-2026 08:51:43,0.002s,PASSED
"chec = verifyElementChecked(findTestObject(""Object Repository/Organization Settings/Work Time/Custom Reports/Common/Chk_ Display Overall Data""), 2, OPTIONAL)",Chrome 144.0.7559.110,,,03-02-2026 08:51:43,03-02-2026 08:51:44,0.398s,PASSED
out.println(chec),Chrome 144.0.7559.110,,,03-02-2026 08:51:44,03-02-2026 08:51:44,0.002s,PASSED
