Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.98,,,29-01-2026 11:04:22,29-01-2026 11:06:41,2m - 19.438s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.98,Login,,29-01-2026 11:04:23,29-01-2026 11:06:25,2m - 1.628s,PASSED
"DATA BINDING - {""password"":""HeCM15nHKBI\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.98,,,29-01-2026 11:04:24,29-01-2026 11:05:32,1m - 7.782s,PASSED
maximizeWindow(),Chrome 144.0.7559.98,,,29-01-2026 11:05:32,29-01-2026 11:05:32,0.110s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.98,,,29-01-2026 11:05:32,29-01-2026 11:05:33,0.392s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.98,,,29-01-2026 11:05:33,29-01-2026 11:06:18,45.346s,PASSED
try,Chrome 144.0.7559.98,,,29-01-2026 11:06:18,29-01-2026 11:06:25,6.555s,PASSED
Finally,Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:25,0.017s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:38,13.667s,PASSED
"DATA BINDING - {""exportType"":""excel""}",,,,,,,
explort = null,Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:25,0.000s,PASSED
rows = null,Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:25,0.014s,PASSED
webData = [],Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:25,0.000s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.98,,,29-01-2026 11:06:25,29-01-2026 11:06:38,13.225s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/LogOut_Page/LogOut,Chrome 144.0.7559.98,,,29-01-2026 11:06:38,29-01-2026 11:06:41,2.329s,PASSED
try,Chrome 144.0.7559.98,,,29-01-2026 11:06:38,29-01-2026 11:06:41,2.150s,PASSED
