Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Genaral,Chrome 144.0.7559.97,,,28-01-2026 11:05:13,28-01-2026 11:08:01,2m - 48.041s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.97,Login,,28-01-2026 11:05:17,28-01-2026 11:07:31,2m - 13.831s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.97,,,28-01-2026 11:05:18,28-01-2026 11:06:28,1m - 9.856s,PASSED
maximizeWindow(),Chrome 144.0.7559.97,,,28-01-2026 11:06:28,28-01-2026 11:06:28,0.102s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.97,,,28-01-2026 11:06:28,28-01-2026 11:06:28,0.348s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.97,,,28-01-2026 11:06:28,28-01-2026 11:06:46,17.978s,PASSED
try,Chrome 144.0.7559.97,,,28-01-2026 11:06:46,28-01-2026 11:07:31,44.373s,FAILED
catch (Exception e),Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:31,0.068s,PASSED
Finally,Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:31,0.004s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Activity DashBoard/ActivityDashBoard,Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:59,27.695s,PASSED
"DATA BINDING - {""exportType"":""Pdf""}",,,,,,,
explort = null,Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:31,0.009s,PASSED
rows = null,Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:31,0.006s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.97,,,28-01-2026 11:07:31,28-01-2026 11:07:59,27.292s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/LogOut_Page/LogOut,Chrome 144.0.7559.97,,,28-01-2026 11:07:59,28-01-2026 11:08:01,2.419s,PASSED
try,Chrome 144.0.7559.97,,,28-01-2026 11:07:59,28-01-2026 11:08:01,2.064s,PASSED
